Component,Type,Location (File),English Text,Context/Notes,Priority
Navigation,Menu Item,Navbar.tsx,"Waves",Menu link,HIGH
Navigation,Menu Item,Navbar.tsx,"Modern",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Back to home",Link tooltip,HIGH
Physics Navigation,Site Name,PhysicsLayout.tsx,"Physics Lab",Brand name,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Mechanics",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"E&M",Menu link (abbreviation),HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Thermo",Menu link (abbreviation),HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Waves",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Modern",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Library",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Challenges",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Unit Converter",Menu link,HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Formula Calc",Menu link (abbreviation),HIGH
Physics Navigation,Menu Item,PhysicsLayout.tsx,"Glossary",Menu link,HIGH
Physics Index,Card Title,physics/Index.tsx,"Classical Mechanics",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"6 experiments: projectile pendulum spring collisions circular motion inclined plane",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Electricity & Magnetism",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"Coulomb's law Ohm's law circuits magnetic field visualization",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Thermodynamics",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"Ideal gas simulation heat transfer & conduction",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Waves & Optics",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"Transverse waves standing waves Doppler effect double slit diffraction",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Modern Physics",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"Quantum atom photoelectric effect blackbody radiation nuclear decay",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Physics Library",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"14 constants 24 equations across all branches",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Formula Calculator",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"14 physics formulas with instant computation",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Unit Converter",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"6 categories: length mass energy temperature pressure force",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Physics Glossary",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"42 key terms with definitions across all branches",Branch description,HIGH
Physics Index,Card Title,physics/Index.tsx,"Challenges",Branch title,HIGH
Physics Index,Card Description,physics/Index.tsx,"Physics problems with hints answer checking & scoring",Branch description,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Projectile Motion",Simulation name,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Pendulum",Simulation name,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Spring / SHM",Simulation name,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Collisions",Simulation name,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Circular Motion",Simulation name,HIGH
Mechanics,Experiment Name,MechanicsPage.tsx,"Inclined Plane",Simulation name,HIGH
Mechanics,Parameter,MechanicsPage.tsx,"Velocity",Slider label,HIGH
Mechanics,Parameter,MechanicsPage.tsx,"Angle",Slider label,HIGH
Mechanics,Parameter,MechanicsPage.tsx,"Gravity",Slider label,HIGH
Mechanics,Result,MechanicsPage.tsx,"Time",Result label,HIGH
Mechanics,Result,MechanicsPage.tsx,"X",Result label,HIGH
Mechanics,Result,MechanicsPage.tsx,"Y",Result label,HIGH
Mechanics,Result,MechanicsPage.tsx,"Max Height",Result label,HIGH
Mechanics,Result,MechanicsPage.tsx,"Range",Result label,HIGH
Electromagnetism,Experiment Name,ElectromagnetismPage.tsx,"Coulomb's Law",Simulation name,HIGH
Electromagnetism,Experiment Name,ElectromagnetismPage.tsx,"Ohm's Law Circuit",Simulation name,HIGH
Electromagnetism,Experiment Name,ElectromagnetismPage.tsx,"Magnetic Field",Simulation name,HIGH
Electromagnetism,Parameter,ElectromagnetismPage.tsx,"Charge 1",Slider label,HIGH
Electromagnetism,Parameter,ElectromagnetismPage.tsx,"Charge 2",Slider label,HIGH
Electromagnetism,Parameter,ElectromagnetismPage.tsx,"Distance",Slider label,HIGH
Electromagnetism,Result,ElectromagnetismPage.tsx,"Force",Result label,HIGH
Electromagnetism,Result,ElectromagnetismPage.tsx,"Type",Result label,HIGH
Electromagnetism,Result Value,ElectromagnetismPage.tsx,"Attractive",Force type,MEDIUM
Electromagnetism,Result Value,ElectromagnetismPage.tsx,"Repulsive",Force type,MEDIUM
Electromagnetism,Result,ElectromagnetismPage.tsx,"Field at mid",Result label,HIGH
Thermodynamics,Experiment Name,ThermodynamicsPage.tsx,"Ideal Gas",Simulation name,HIGH
Thermodynamics,Experiment Name,ThermodynamicsPage.tsx,"Heat Transfer",Simulation name,HIGH
Thermodynamics,Parameter,ThermodynamicsPage.tsx,"Temperature",Slider label,HIGH
Thermodynamics,Parameter,ThermodynamicsPage.tsx,"Volume",Slider label,HIGH
Thermodynamics,Parameter,ThermodynamicsPage.tsx,"Moles",Slider label,HIGH
Thermodynamics,Result,ThermodynamicsPage.tsx,"Pressure",Result label,HIGH
Thermodynamics,Result,ThermodynamicsPage.tsx,"KE",Result label,HIGH
Thermodynamics,Result,ThermodynamicsPage.tsx,"RMS Speed",Result label,HIGH
Waves,Experiment Name,WavesPage.tsx,"Transverse Wave",Simulation name,HIGH
Waves,Experiment Name,WavesPage.tsx,"Standing Waves",Simulation name,HIGH
Waves,Experiment Name,WavesPage.tsx,"Doppler Effect",Simulation name,HIGH
Waves,Experiment Name,WavesPage.tsx,"Double Slit",Simulation name,HIGH
Waves,Parameter,WavesPage.tsx,"Frequency",Slider label,HIGH
Waves,Parameter,WavesPage.tsx,"Amplitude",Slider label,HIGH
Waves,Parameter,WavesPage.tsx,"Wavelength",Slider label,HIGH
Waves,Parameter,WavesPage.tsx,"Wave 2 Freq",Slider label,HIGH
Waves,Result,WavesPage.tsx,"Wave Speed",Result label,HIGH
Waves,Result,WavesPage.tsx,"Period",Result label,HIGH
Waves,Result,WavesPage.tsx,"ω",Result label,HIGH
Modern Physics,Experiment Name,ModernPhysicsPage.tsx,"Quantum Atom",Simulation name,HIGH
Modern Physics,Experiment Name,ModernPhysicsPage.tsx,"Photoelectric",Simulation name,HIGH
Modern Physics,Experiment Name,ModernPhysicsPage.tsx,"Blackbody",Simulation name,HIGH
Modern Physics,Experiment Name,ModernPhysicsPage.tsx,"Nuclear Decay",Simulation name,HIGH
Modern Physics,Parameter,ModernPhysicsPage.tsx,"Energy Levels",Slider label,HIGH
Modern Physics,Parameter,ModernPhysicsPage.tsx,"Photon Energy",Slider label,HIGH
Modern Physics,Parameter,ModernPhysicsPage.tsx,"Velocity (β)",Slider label,HIGH
Modern Physics,Result,ModernPhysicsPage.tsx,"Bohr E(n)",Result label,HIGH
Modern Physics,Result,ModernPhysicsPage.tsx,"Photon λ",Result label,HIGH
Modern Physics,Result,ModernPhysicsPage.tsx,"Lorentz γ",Result label,HIGH
Modern Physics,Result,ModernPhysicsPage.tsx,"Time Dilation",Result label,HIGH
Modern Physics,Result,ModernPhysicsPage.tsx,"Length Contract",Result label,HIGH
Blackbody Sim,Parameter,sims/BlackbodySim.tsx,"Temperature",Slider label,HIGH
Blackbody Sim,Result,sims/BlackbodySim.tsx,"Wien Peak",Result label,HIGH
Blackbody Sim,Result,sims/BlackbodySim.tsx,"Total Power",Result label,HIGH
Blackbody Sim,Result,sims/BlackbodySim.tsx,"Visible?",Result label,HIGH
Blackbody Sim,Result Value,sims/BlackbodySim.tsx,"Yes",Yes/No answer,MEDIUM
Blackbody Sim,Result Value,sims/BlackbodySim.tsx,"No",Yes/No answer,MEDIUM
Circular Motion Sim,Parameter,sims/CircularMotionSim.tsx,"Radius",Slider label,HIGH
Circular Motion Sim,Parameter,sims/CircularMotionSim.tsx,"Mass",Slider label,HIGH
Circular Motion Sim,Parameter,sims/CircularMotionSim.tsx,"Speed",Slider label,HIGH
Circular Motion Sim,Result,sims/CircularMotionSim.tsx,"Angular Vel (ω)",Result label,HIGH
Circular Motion Sim,Result,sims/CircularMotionSim.tsx,"Centripetal Force",Result label,HIGH
Circular Motion Sim,Result,sims/CircularMotionSim.tsx,"Period",Result label,HIGH
Circular Motion Sim,Result,sims/CircularMotionSim.tsx,"Centripetal Accel",Result label,HIGH
Collision Sim,Parameter,sims/CollisionSim.tsx,"Mass 1",Slider label,HIGH
Collision Sim,Parameter,sims/CollisionSim.tsx,"Velocity 1",Slider label,HIGH
Collision Sim,Parameter,sims/CollisionSim.tsx,"Mass 2",Slider label,HIGH
Collision Sim,Parameter,sims/CollisionSim.tsx,"Velocity 2",Slider label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"KE Before",Result label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"KE After",Result label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"Momentum",Result label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"v1 after",Result label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"v2 after",Result label,HIGH
Collision Sim,Result,sims/CollisionSim.tsx,"Final v",Result label,HIGH
Doppler Sim,Parameter,sims/DopplerSim.tsx,"Source Freq",Slider label,HIGH
Doppler Sim,Parameter,sims/DopplerSim.tsx,"Source Speed",Slider label,HIGH
Doppler Sim,Parameter,sims/DopplerSim.tsx,"Sound Speed",Slider label,HIGH
Doppler Sim,Result,sims/DopplerSim.tsx,"f (approach)",Result label,HIGH
Doppler Sim,Result,sims/DopplerSim.tsx,"f (recede)",Result label,HIGH
Doppler Sim,Result,sims/DopplerSim.tsx,"Mach",Result label,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Freefall Time",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"A ball is dropped from 80m. How long does it take to hit the ground? (g = 9.81 m/s²)",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"Use h = ½gt²",Hint text,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Coulomb Force",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"Two charges of 3μC and 5μC are 0.2m apart. What is the force in Newtons? (k = 8.99×10⁹)",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"F = kq₁q₂/r²",Hint text,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Ideal Gas Pressure",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"2 moles of gas at 350K in 1L. What's the pressure in kPa? (R = 8.314)",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"PV = nRT",Hint text,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Wave Speed",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"A wave has frequency 5Hz and wavelength 3m. What's its speed?",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"v = fλ",Hint text,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Lorentz Factor",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"What is the Lorentz factor γ for v = 0.8c?",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"γ = 1/√(1-β²)",Hint text,HIGH
Challenges,Challenge Title,ChallengesPage.tsx,"Photon Wavelength",Challenge name,HIGH
Challenges,Challenge Question,ChallengesPage.tsx,"What's the wavelength (nm) of a 4eV photon? (h=6.626e-34 c=3e8 eV=1.602e-19)",Question text,HIGH
Challenges,Challenge Hint,ChallengesPage.tsx,"λ = hc/E",Hint text,HIGH
Challenges,UI Label,ChallengesPage.tsx,"Difficulty",Form label,HIGH
Challenges,UI Label,ChallengesPage.tsx,"Branch",Form label,HIGH
Challenges,Difficulty Level,ChallengesPage.tsx,"Easy",Difficulty indicator,HIGH
Challenges,Difficulty Level,ChallengesPage.tsx,"Medium",Difficulty indicator,HIGH
Challenges,Difficulty Level,ChallengesPage.tsx,"Hard",Difficulty indicator,HIGH
Challenges,Branch Name,ChallengesPage.tsx,"Mechanics",Branch/category,HIGH
Challenges,Branch Name,ChallengesPage.tsx,"E&M",Branch/category,HIGH
Challenges,Branch Name,ChallengesPage.tsx,"Thermo",Branch/category,HIGH
Challenges,Branch Name,ChallengesPage.tsx,"Waves",Branch/category,HIGH
Challenges,Branch Name,ChallengesPage.tsx,"Modern",Branch/category,HIGH
Challenges,Input Placeholder,ChallengesPage.tsx,"Your answer...",Input field placeholder,HIGH
Challenges,UI Label,ChallengesPage.tsx,"Score",Result label,MEDIUM
Challenges,Result Status,ChallengesPage.tsx,"Correct",Correct answer indicator,MEDIUM
Challenges,Result Status,ChallengesPage.tsx,"Incorrect",Incorrect answer indicator,MEDIUM
Library,Page Title,LibraryPage.tsx,"Physics Library",Page heading,HIGH
Library,Section Label,LibraryPage.tsx,"Constants",Section heading,HIGH
Library,Section Label,LibraryPage.tsx,"Equations",Section heading,HIGH
Library,Placeholder,LibraryPage.tsx,"Search...",Search input placeholder,HIGH
Converter,Page Title,UnitConverterPage.tsx,"Unit Converter",Page heading,HIGH
Converter,Description,UnitConverterPage.tsx,"Convert between different units",Page description,MEDIUM
Calculator,Page Title,FormulaCalcPage.tsx,"Formula Calculator",Page heading,HIGH
Calculator,Description,FormulaCalcPage.tsx,"Quick physics calculations",Page description,MEDIUM
Glossary,Page Title,GlossaryPage.tsx,"Physics Glossary",Page heading,HIGH
Glossary,Description,GlossaryPage.tsx,"Key physics terms and definitions",Page description,MEDIUM
Glossary,Placeholder,GlossaryPage.tsx,"Search terms...",Search input placeholder,HIGH
Error Page,Status Code,NotFound.tsx,"404",Error code,LOW
Error Page,Message,NotFound.tsx,"Oops! Page not found",Error message,MEDIUM
Error Page,Link,NotFound.tsx,"Return to Home",Navigation link,MEDIUM
Footer,Credit Text,Footer.tsx,"Made by rayyan mohammed - aws altammimi -taha ababneh",Author attribution,LOW
Footer,School Name,Footer.tsx,"King Hussain Bin Talal Secondary School for Boys Students",School attribution,LOW
Footer,Motto,Footer.tsx,"Science through Innovation and Excellence",School motto,LOW
